country1,country2,dist_squared
aia,sur,2613136.9104
aia,svk,60870891.9204
aia,svn,58070953.3849
aia,swe,60549874.7044
aia,swz,127862270.0644
aia,syc,174013561.6164
aia,syr,94869158.4064
aia,tca,843642.25
aia,tcd,69753732.4969
aia,tgo,50434426.9584
aia,tha,257494976.2225
aia,tjk,143123896.6336
aia,tkl,151775747.2729
aia,tkm,127500456.3921
aia,ton,168282902.3121
aia,tto,740236.5369
aia,tun,54026322.0676
aia,tur,78547274.0361
aia,tuv,175144579.0084
aia,tza,133579735.8289
aia,uga,112413006.25
aia,ukr,75891103.4025
aia,ury,35504318.1025
aia,usa,7382469.3849
aia,uzb,138957179.7601
aia,vct,350310.0969
aia,ven,895237.6689
aia,vgb,27489.64
aia,vnm,240359442.4609
aia,vut,213585071.7025
aia,wlf,166086109.7536
aia,wsm,200765378.4889
aia,yem,126146592.25
aia,zaf,107952515.6004
aia,zmb,114182474.7844
aia,zwe,122010802.2225
alb,alb,4066.6129
alb,and,2309032.2025
alb,ant,81504784
alb,are,13710801.8961
alb,arg,135307844.1961
alb,arm,4317502.1796
alb,atg,65321310.2656
alb,aus,247195119.5536
alb,aut,660855.1849
alb,aze,6354886.3921
alb,bdi,25680569.76
alb,bel,2525270.5921
alb,ben,18058335.2401
alb,bfa,14784947.8144
alb,bgd,45145901.6649
alb,bgr,105008.4025
alb,bhr,10793721.7444
alb,bhs,76793674.24
alb,bih,92336.9769
alb,blr,2266951.8096
alb,blz,104663334.8601
alb,bmu,53374567.5241
alb,bol,122237789.4544
alb,bra,98882937.1201
alb,brb,66943651.2481
alb,brn,101666284.0209
alb,btn,41299516.6609
alb,bwa,54492890.5249
alb,caf,16927053.0625
alb,can,57860819.9569
alb,cck,97578637.6761
alb,che,1364177.2804
alb,chl,154567056.25
alb,chn,59075825.7664
alb,civ,21678336
alb,cmr,18091581.6964
alb,cog,25937426.6944
alb,cok,316579817.4361
alb,col,101667090.6601
alb,com,40590660.3664
alb,cpv,25916448.2724
alb,cri,108547434.3321
alb,cub,86397768.6016
alb,cxr,109035572.8401
alb,cym,90291234.7089
alb,cyp,1866748.3641
alb,cze,1125551.2464
alb,deu,2229347.61
alb,dji,16126328.3776
alb,dma,66805121.4336
alb,dnk,2822097.6081
alb,dom,74617635.4225
alb,dza,2352358.3876
alb,ecu,115093202.4225
alb,egy,2635200.2889
alb,eri,11742204.3561
alb,esh,11507834.9824
alb,esp,3908766.2436
alb,est,4167885.5716
alb,eth,16408332.5184
alb,fin,4504878.9009
alb,fji,280399043.8144
alb,flk,163154893.7041
alb,fra,2571308.4609
alb,fro,8415510.9025
alb,fsm,174143125.4689
alb,gab,21869278.1316
alb,gbr,3592351.6225
alb,geo,4310772.5376
alb,gha,19835889.0625
alb,gib,5069207.2201
alb,gin,24658176.49
alb,gmb,22037391.36
alb,gnb,22641323.7241
alb,gnq,18708306.5961
alb,grc,250120.0144
alb,grd,71101153.6225
alb,grl,25907896.4004
alb,gtm,111587532.25
alb,guy,72538096.6249
alb,hkg,76519281.1009
alb,hnd,107206144.3216
alb,hrv,343349.1216
alb,hti,78158506.9329
